Unigram,Frekuensi
cybercrimepdf,2
308,2
keuangan66,1
niat,5
inisiatif,6
keahlian,8
komputer67,1
gidentifikasi,1
celah,5
pengamanan,7
sistem68,1
lem,1
baga,1
jaringan69,1
pengambilalihan,1
server70,1
deface,2
situs71,1
bruteforce,1
pass,2
word,1
alih,1
tersebut72,1
merugikan73,1
manipulasi,7
peroleh,3
phising,2
memperdaya,1
sistem74,1
kaspersky,3
prevent,6
httpswwwkasper,1
skycomresourcecenterdefinitionswhatishacking,1
samuel,2
chng,2
comprehensive,4
framework,12
100167,2
th,11
lenhard,2
springer,6
wiesbaden,2
weakness,2
electronics,5
icoei48184,2
354361,2
beno,2
ron,2
poet,2
passwords,3
satisfy,2
common,4
13th,2
bermejo,2
flores,2
hui,2
notice,2
retraction,2
steal,2
your,4
cents,2
android,13
smartphones,2
nfc,2
tags,3
309,2
patch,1
firewall,1
tepat75,1
segera,9
aksesibilitas,4
tersebut76,1
melimpahkan,1
membanjiri,3
mengirimkan,13
jaringan77,1
meliputi78,1
flooding,3
menghabiskan,6
responsif79,1
ping,2
death,1
sengaja,9
jonas,2
borchgrevink,5
consequences,5
httpshacked,1
comhackinganditslegalconsequencesaccesseddateparts2023623authordroppingparticlefam,1
ilyborchgrevinkgivenjonasnondroppingparticleparsenamesfalsesuffixiditem1issued,1
dateparts2023titlehacking,1
consequencestypewebpageurishttpwwwmendeleycomdoc,1
umentsuuid38d8eda1972e4ab4ba10a8d38a0de6e3mendeleyformattedcitationjonas,1
httpshackedcomhackinganditslegalconsequenc,1
esplaintextformattedcitationjonas,1
httpshackedcomhackinganditslegalconsequencespreviouslyformattedcitationjonas,1
httpshackedcomhackinganditslegalcon,1
sequencespropertiesnoteindex75schemahttpsgithubcomcitationstylelanguageschemarawmastercslcita,1
tionjson,1
national,8
centre,2
guidance,2
wwwncscgovukcollectiondenialservicedosguidancecollectiontext22denial,1
service22,2
22frequently,2
media326authordroppingparticlefamilynational,1
centregivennondrop,2
pingparticleparsenamesfalsesuffixiditem1issueddateparts2023titledenial,2
ibid326authordroppingparticlefamilynational,1
konstantinos,2
pelechrinis,2
marios,2
iliofotou,2
srikanth,2
krishnamurthy,2
jammers,2
communications,2
tutorials,2
245257,2
raihan,2
ur,2
rasool,2
defined,6
ecosystems,2
melebihi,2
diizinkan,1
crash,1
sistem80,1
syn,2
flood,1
sah81,1
peng,1
gunaan,1
meluncurkan,1
terdistribusi,1
dilacak82,1
doi83,1
diinginkan84,1
meliputi85,1
menyebab,1
situs86,1
injeksi,1
sql,13
menyisipkan,1
database87,1
penghancuran,2
destruction,1
jaringan88,1
keberlangsungan,1
organisasi89,1
sagar,2
pande,2
intelli,1
gence,1
doctoral,3
symposium,6
dosci,2
5968,2
felix,2
lau,2
22752280,2
adaoma,2
ezenwe,3
eoghan,2
furey,3
curran,3
load,3
balancing,2
robotics,2
jrc,2
129135,2
yuchong,2
qinghui,2
cyberattacks,2
81768186,2
gregory,3
conti,3
mustaque,2
ahamad,2
countering,2
denialofinformation,2
5056,2
mariam,2
albalawi,2
defacement,2
reviewno,2
title,2
3573,2
120,6
httpsdoiorg103390electronics11213573,2
maha,10
alghawazi,2
daniyal,2
alghazzawi,2
suaad,2
alarifi,2
injection,3
764777,2
lei,3
cui,2
false,16
grid,4
surv,2
102808,2
311,10
mor,1
tepercaya,1
diinstal,1
virus,1
worm,1
trojan,1
ran,1
somware,1
prib,1
adi,4
keja,1
hatan,2
mengelabui,2
kejaha,1
tan,4
lotere,1
penipu,2
mengecoh,1
enkripsi,19
plat,1
dicegah,2
organisasi90,1
waspada,9
tersebut91,1
uways,2
zulkurnain,2
mathematics,1
188198,2
perwej,2
669710,2
bijak,11
berinteraksi,7
kolaborasi,2
andal,4
jurnalartkel,1
statis,1
ticstext1,1
vices,1
chine,1
chris,1
barton,1
rainer,1
bölme,1
clayton,1
carlos,1
ganán,1
tom,2
grasso,1
levi,1
tyler,1
marie,1
vasek,1
ac,2
cessed,1
httpsorcacardiffacukideprint1226841levi_measuring,1
540542,1
man,1
inter,2
direc,1
httpshackedcomhackinganditslegalconsequences,1
ayush,1
yau,1
commu,1
nication,1
edward,1
donnerstein,1
robini,1
kowalsk,1
carolyn,1
lin,1
bal,31
ancing,1
requirements,1
httpsjournalssagepubcomdoiepub1011772053951719860542,1
prenosil,1
alhejailan,1
hammoudeh,1
fense,1
ers,1
blocklists,1
miriam,1
armstrong,1
mckenna,1
tornblad,1
akbar,4
siami,1
namin,1
neers,1
httpswwwkasperskycomresourcecenterdefinitionswhatishacking,1
amy,3
bleakley,1
jordan,2
daniel,2
romer,1
sur,1
vey,1
stuart,3
rubin,1
smith,6
ljiljana,1
trajkovic,1
tacks,1
pencuri,1
mandalla,1
zaki,1
stochastic,1
gradient,11
descent,1
momentum,2
institut,1
nopember,1
http418949138080xmluibitstreamhandle1234567891276masenovishing,1
userspdfsequence1isallowedy,1
httpsciteseerxistpsuedudocumentrepidrep1,1
typepdfdoi5e089b9bac3cdba577724cf0cd23f648a4f952d9,1
natgunanathan,1
hua,1
httpsieeexploreieeeorgstampstampjsptparnumber7460114,1
httpswwwncscgovukcollectiondenialservicedosguidancecollectiontext22de,1
nial,1
reported,1
httpsroyalsocietypublish,1
ingorgdoipdf101098rsta20170358,1
khamparia,1
deepak,1
dang,1
thanh,1
com,2
putational,1
httpswwwtandfonlinecomdoifull1010802331188620211970880,1
elektron,1
ik,1
httpsjmssviceduauwpcontentuploads202106the_fourth_industrial_revolutionpdf,1
sci,9
ence,1
innovative,3
httpswwwpewre,1
searchorginternetwpcontentuploadssites9202101pi_20210113_onlineharassment_final1,1
pdf,2
mathe,1
matics,1
290,1
humaniora,11
leadership,14
perguruan,34
hardi,1
mulyono,1
nusantara,14
washliyah,1
hardisurbaktigmailcom,1
temperamen,4
watak,6
khas,6
gayanya,3
style,9
mewarnai,3
aspirasional,2
kreatif,12
searah,2
pemimpinpadahal,1
teladan,3
panutan,2
dipimpinnya,3
otokratik,2
kharismatiklaisser,1
faire,2
demokratik,2
perbaikanperbaikan,2
kalau,9
pengarahan,6
memotivasi,4
pengikut,11
kearifan,2
kepemimpinnan,2
mengintegrasikan,3
charakter,2
kepimpinan,2
sehinggga,3
tercapai,4
leader,5
possesses,1
traits,1
habits,3
temperaments,1
personalities,1
distinguish,2
others,3
definitely,2
aspirational,1
morale,1
capable,3
impacting,1
members,2
dwwlwxghvlqrughuwrehdoljqlqjzlwkwkhohdghuv,1
zloodqgdvsludwlrqqidfwd,1
supposed,1
some,2
autocratic,1
charismatic,1
laissezfaire,2
unfortunately,1
giving,1
repeated,2
orders,1
create,2
intricacy,1
7klv,1
pljkw,1
kdsshq,1
dv,1
wkh,2
vxeruglqdwhv,1
zloo,1
rqo,1
dfw,1
xsrq,1
ohdghuv,1
frppdqg,1
dqg,1
ignore,1
signals,1
improvement,1
eventually,1
working,3
performances,1
moreover,1
targets,2
goals,3
motivate,1
followers,1
wisdom,1
characterbased,2
realized,1
integrating,1
eighteen,1
values,3
character,15
particularly,2
aimed,1
achieve,2
mission,1
enhancement,1
aktivitasaktivitas,1
bawahan,4
sunarto,1
tipetipe,1
kharismatik,2
paternalistik,2
militeristik,1
otokratis,1
laissez,1
administratif,2
tife,1
menjalankannya,2
tinggisebagaimana,1
mutunya,1
intrinsik,1
mutupeningkatan,1
ditangani,3
paradigma,4
292,4
gerak,4
akuntabilitas,1
terselenggara,1
akreditasi,2
lulusan,1
evaluasidiri,1
becermin,1
mcbride,1
memimpin,1
miovision,1
kesuksesan,2
arahan,1
pengikutnya,8
mensyaratkan,1
karakterdalam,1
aw,1
termotivasi,1
sukarela,1
diulang,1
rumusan,3
bagaimanakah,1
penegelolaan,1
menelaah,1
konsepkonsep,1
asasasas,1
deskriftif,1
terkumpul,4
pemimpinpemimpin,1
disesuaikan,5
grensing,1
293,3
siagian,1
kuswadi,1
winardi,2
pas,3
pegawainya,1
senada,1
kecakapan,3
pribadinya,3
pengangkatan,1
kearah,2
sasaransasaran,1
trait,1
theory,9
intelektualisasi,1
memusatkan,3
perhatiannya,3
task,1
persetujuan,14
penengahan,1
situasional,3
contingency,1
kontingensi,1
mengambarkan,2
robert,2
tannenbaum,1
warren,1
schmidt,1
fielder,1
hersey,1
blanchard,1
member,3
path,2
participation,11
mengidentifikasikan,2
prilaku,1
initiating,1
structure,3
atasan,1
kekeluargaan,3
gagasan,4
294,2
4teori,1
transformasional,4
toeri,1
kebanyak,1
arah,9
charisma,1
inspiration,1
intelectual,1
stimulatio,1
individualized,1
kendala,4
prakteknyadan,1
takuti,1
keadaaannya,1
suasana,9
permasalahanpermasalahan,1
dlwx,2
³,1
huedvlv,1
dudnwhu,1
kemediknas,1
religius,2
kejujuran,5
toleransi,2
tahu,6
kebangsaan,4
prestasi,5
bersahabatkomunikatif,2
damai,2
gemar,2
membaca,19
patuh,4
dianutnya,1
toleran,3
ibadah,4
rukun,2
pemeluk,1
perkataan,1
etnis,5
berfikir,7
bersikap,12
dipelajarinya,1
didengar,2
mengakui,5
bacaan,1
kebajikan,1
upayaupaya,3
kewajibannya,2
lakukan,24
esa,3
diimplementasi,1
sugono,3
lurus,3
hati,14
berbohong,1
296,2
kemandirian,4
kedisiplinan,2
ketaatan,1
kepatuhan,2
ketentuanyang,1
mengerjakan,4
sesuatunya,2
dituntut,4
dipersalahkan,1
diperkarakan,1
disengaja,4
pengorbanan,4
maksudnya,2
perwujudandari,1
sem,1
kesetiaan,2
cita,8
ikatan,7
didasari,5
³nhpdxdq,1
phqlpexondq,3
ketekadan,1
ketekunan,2
pendirian,1
keberanian,1
keteguhan,1
kelakilakian,1
pantang,1
katanya,2
sebelah,2
memihak,1
terapkan,4
terobosan,3
diabaikan,2
dianut,3
trendnya,1
damiyati,1
zuchdi2013model,1
perpustakaan,10
297,1
moleong,1
rosdakarya,2
muchlas,1
samani2011konsep,1
karakterptremaja,1
jkj,8
persatuan,10
perawat,8
26558106,8
pissn23382090,8
fikkes,8
ppni,8
537,1
urban,11
rural,10
jember,11
wahyi,1
sholihah,1
erdah,1
suswati,2
elyas,1
budiman,4
zidni,1
nuris,1
yuhbaba,2
soebandi,2
no99,1
cangkring,1
patrang,2
68111,1
elyasarif92gmailcom,1
separuh,2
bertahan,11
dewasamasa,1
mentaladapun,1
mendeskripsikaan,1
maasa,1
guru,23
kaum,5
environments,1
critical,3
than,1
start,5
adolescent,10
stage,6
them,6
persist,1
adulthood,3
important,4
developing,4
emotional,4
wellbeing,3
purpose,5
describe,1
regency,6
conducted,2
senior,1
schools,4
respondents,3
were,6
selected,6
show,4
demographic,1
picture,1
poor,2
time,16
teachers,3
friends,1
best,4
recognize,1
suffering,1
538,1
kessler,3
towsend,1
1019,3
formatif,1
kekerasan,6
mempromosikan,3
sosioemosional,1
dikenali,1
diobati,2
pengucilan,4
stigma,3
kesiapan,1
melainkan,13
rehabilitasi,1
bakat,1
ditekankan,3
screening,10
peka,2
diagnostik,1
valid,16
oconnell,2
menjangkau,5
faktanya,3
diakses,15
kalangan,39
siswa,60
539,2
barubaru,1
cho,2
shin,2
slovin,1
simple,3
inklusi,2
1118,1
bersedia,1
informed,1
consent,1
eksklusi,1
mhi,1
veit,1
ditimbang,1
kesesuaian,4
butir,1
0304,1
0643,1
0796,1
n250,5
616,2
384,2
1516,3
664,2
1618,2
336,2
504,1
496,2
crosstab,4
count,7
708,1
573,1
kelemain,1
permpuan,1
1416,2
1719,1
512,1
488,1
keterpaparan,1
lissak,2
gender,28
memperburuk,1
pengasuhan,3
parah,3
kieling,2
berkualitas,7
kronis,5
spektrum,1
autisme,1
disabilitas,1
neurologis,1
menikah,2
terpaksa,1
piatu,1
terdiskriminasi,1
pasa,1
terbentuk,7
brooks,2
wanita,2
menstruasi,1
zawaadi,1
konsisten,4
rothon,2
konstruktif,1
berteman,1
hagell,2
coleman,2
kanada,1
bluhm,2
menyoroti,2
mood,4
kecanduan,3
imbalannya,1
potensial,10
oreilly,3
menjalin,3
kantar,1
alzawaadi,1
hesso,1
kayyali,1
among,5
schoolgoing,1
greater,2
crosssectional,1
frontiers,1
psychiatry,7
12march,1
httpsdoiorg103389fpsyt2021592624,1
covin,1
chow,1
wrath,1
osuch,1
just,1
stick,1
itll,1
adults,3
507,2
778786,1
httpsdoiorg101007s105970149695x,1
harris,1
thrall,1
woods,1
association,4
behaviors,2
symptoms,3
students,2
240246,1
httpsdoiorg101016s1054139x02003853,1
korean,1
5611,1
459464,1
httpsdoiorg103345kjp20135611459,1
peoples,1
khanam,1
kabir,1
bullying,29
victimization,2
suicidality,1
selfharm,1
australian,3
schoolchildren,1
nationwide,1
292august,1
113364,1
httpsdoiorg101016jpsychres2020113364,1
berglund,1
demler,1
jin,1
merikangas,1
walters,1
lifetime,1
ageofonset,1
distributions,1
dsmiv,1
comorbidity,1
replication,1
archives,3
626,1
593,2
602,1
httpsdoiorg101001archpsyc626593,1
bakerhenningham,1
belfer,1
ertem,1
omigbodun,1
rohde,1
srinath,1
ulkuer,1
worldwide,2
lancet,1
3789801,1
15151525,1
httpsdoiorg101016s0140673611608271,1
adverse,2
screen,2
164october,1
149157,1
httpsdoiorg101016jenvres201801015,1
boat,1
warner,1
eds,1
committee,1
substance,2
abuse,9
543,1
behavioral,1
progress,2
possibiliti,1
academies,1
httpsdoiorg101722612480,1
dogra,1
whiteman,1
hughes,1
eruyar,1
reilly,1
bad,2
clinical,3
psychology,1
234,1
601613,1
httpsdoiorg1011771359104518775154,1
klineberg,1
stansfeld,1
protect,2
bullied,1
outcomes,1
prospective,1
educational,9
achievement,1
east,2
579588,1
httpsdoiorg101016jadolescence201002007,1
practice,2
psychiatric,1
nursing,2
10th,2
mosby,1
plan,1
20132020,2
wirasakti,1
assertive,2
islamic,3
boarding,1
jis,13
print,26
16931173,9
25484028,9
httpsdoiorg1030646sinusv19i1526,9
jis75,1
efficientnet,33
anggiratih1,1
sri,5
siswanti2,1
saly,1
kurnia,3
octaviani3,1
arumsari4,1
d3sistem,1
s1sistem,1
endanggiratihsinusacid,1
syswantysinusacid,1
sallysinusacid,1
arumsarisinusacid,1
rice,11
inhibiting,1
example,1
plants,1
slow,1
inappropriate,1
treatment,8
plant,5
crop,1
failure,2
production,10
farmers,4
decrease,1
difficult,1
especially,8
severe,2
other,3
fields,9
needed,3
take,2
spread,1
controlled,1
quickly,2
images,1
requires,2
featurescharacteristics,1
classified,1
architecture,14
extract,1
features,2
spot,20
bacterial,16
reached,1
7953,4
0012,4
losserror,1
keyword,3
pertanian,12
ketahanan,31
pangan,24
terbesar,18
penghambat,1
panen,1
petani,7
gejalagejala,2
pokoknya,1
gencar,1
haris,2
ciriciri,13
menyeleksi,4
murniyasih,2
penyeleksian,1
duong,2
pca,1
principal,1
component,1
backpropagation,10
particle,1
swarm,1
optimazation,1
heilongjiang,1
cina,2
blast,3
smut,1
bakanae,1
sheath,4
blight,6
rot,2
seeding,1
wilt,1
pembelajarannya,1
9246,1
1509,1
647,2
ghosal,2
sarkar,2
ekstraktor,1
pretrained,1
alexnet,1
913,3
619,1
ke1,1
latih,7
ke3,1
shrivastava,2
disediakan,3
prajapati,2
857,1
bercak,1
coklat,3
hawar,1
slr,1
nikon,1
d90,1
sherta,1
2848x4288,1
resolusi,8
300x300,2
jis77,1
224x224,2
v3,23
tahapantahapan,1
ditampilkan,8
segmentasi,2
mobilenetefficientnet,2
map,5
diekstrak,1
cirinyafiturnya,1
fiturciri,2
akurasiketepatan,1
mengekstrak,1
windows,4
bit,2
jetbrains,1
pycharm,1
202021x64,1
pemrograman,14
tensorflow,1
pembangun,2
spesifikasi,11
intelcorei59400f,1
cpu290ghz,1
8192mb,1
ram,3
harddisk,1
2tb,1
1280x1024,1
disegmentasi,1
trainlatih,1
testuji,2
perbandingannya,1
602020,1
258,1
255,3
piksel,2
mengkonfirmasikan,1
jis79,1
bottleneck,2
54m,1
howard,3
expensive,1
size,1
se,4
stride,1
2242,1
conv2d,4
hs,12
1122,2
bneck,15
562,2
480,1
672,2
pool,1
nbn,2
1280,2
12m,1
b0,2
layernya,1
channels,1
conv3x3,2
224,4
mbconv1,1
k3x3,3
mbconv6,6
k5x5,4
fc,1
hold,1
6020,1
dikedua,1
trainingpelatihan,2
jis81,1
pelatihantraining,2
0007,3
senilai,1
berbanding,2
0249,1
0684,1
0091,1
0599,1
0049,1
0666,1
0042,2
019,1
0043,1
0046,2
0071,1
0038,1
testingpengujian,1
5092,1
5107,1
4971,1
5432,3
5614,1
5248,1
6374,1
5218,1
7427,1
7135,1
5262,1
5152,1
7602,1
teritinggi,1
ke350,1
ke300,1
kesimpulannya,5
arsitekturnya,1
jis83,1
nguyen,2
sipio,1
ruscio,1
automated,2
fruit,1
ffi,1
cientnet,1
mixnet,1
agriculture,1
171january,1
105326,1
httpsdoiorg101016jcompag2020105326,1
calcutta,1
calcon,1
230236,1
httpsdoiorg101109calcon4916720209106423,1
jatisi,1
237250,1
httpsdoiorg1035957jatisiv7i2239,1
sandler,1
chu,1
vasudevan,1
q,5
adam,2
searching,2
mobilenetv3,1
2019octob,1
13141324,1
httpsdoiorg101109iccv201900140,1
penyakitpenyakit,2
jajar,2
legowo,2
paddy,1
vilage,1
sako,1
rambutan,1
subdistrict,1
banyuasin,1
yi,1
zeng,1
378384,1
httpsdoiorg101016jneucom201706023,1
suryani,1
quantization,1
shah,3
dabhi,1
publication,1
details,2
august,2
httpsdoiorg103233idt170301,1
arko,1
apon,1
nowrin,1
wasif,1
pests,2
biosystems,1
112120,1
httpsdoiorg101016jbiosystemseng202003020,1
pradhan,1
minz,1
thakur,1
photogrammetry,1
sensing,1
spatial,2
isprs,1
423w6,1
631635,1
httpsdoiorg105194isprsarchivesxlii3w66312019,1
rethinking,1
scaling,1
36th,1
icml,1
2019june,1
1069110700,1
8186,4
httpsdoiorg1029210,1
020221974,1
contents,1
iicet,2
jppi,4
25028103,1
24778524,1
electronic,4
homepage,6
httpsjurnaliicetorgindexphpjppi,6
inventarisasi,11
wisata,38
kuliner,33
minta,2
harsana,5
wika,1
afia,1
fauziah,1
jul,1
22nd,1
oct,2
31st,1
istimewa,9
fokuskan,1
sentra,4
sajian,14
penetian,1
miles,1
hubermen,1
reduction,1
display,1
conclutions,1
drawingverification,1
snowball,1
sentrasentra,2
addi,1
yogyakartahasil,1
kategorikan,3
hidangan,16
kudapan,8
sepinggan,8
terdata,5
212,6
kelompokan,2
sebaran,4
paku,3
152,5
authors,1
published,4
byncsa,1
httpscreativecommonsorglicensesbyncsa40,1
minta_harsanaunyacid,1
pariwisata,18
liburnya,1
wisatawan,22
berkunjung,2
kepariwisataan,2
tuan,1
destinasi,9
menceritakan,1
memperkaya,5
ariani,2
hendaknya,6
menginventarisasikan,1
dilestarikan,2
no10,1
thn,1
meninginkan,1
keelokan,1
alamnya,3
terkesan,1
kebudayaan,9
berciri,2
kedaerahan,1
beraneka,4
nurhayati,4
masakan,2
dipasarkan,1
mcdonalds,1
berantai,1
keragaman,3
multibudaya,1
kulinernya,1
melihatnya,2
warisan,4
terpopuler,1
kualitasnya,1
eksistensinya,2
muadz,2
kaya,7
makananmakanan,1
manik,2
jajanan,1
suter,2
beragamnya,2
multikulturalnya,1
rempahrempah,1
aneka,2
memasak,1
china,3
eropa,2
blakey,2
pariwisatanya,1
318580,1
km2,3
dikunjungi,1
tersempit,1
dki,1
menyandang,1
predikat,1
mendatangkan,1
24715195,1
601781,1
mancanegara,4
24113414,1
toko,24
oleholeh,2
restoran,4
didatangi,2
gudeg,1
bakpia,1
pengunjung,4
otentik,2
fonte,1
veeck,2
aroma,4
pemkot,1
menandatangani,1
kesepahaman,2
bertugas,3
sanitasi,1
kehigienisan,1
sinergi,1
solo,1
kelayakan,6
pengemasan,2
event,12
penanaman,3
mengesankan,1
acara,10
ceruk,1
membelanjakan,1
khususunya,1
turunmenurun,1
ernayanti,2
widyaningsih,4
sukusuku,1
corak,1
cermin,2
peradaban,3
disuguhkan,1
dinikmati,1
berkait,1
enteleca,1
consultancy,1
diimpor,1
geografi,1
mak,2
dibeli,1
perihal,1
sims,1
sidali,2
demonstrasi,1
apresiasi,1
mengonsumsi,3
berlibur,1
menciptakannya,1
menguntungkan,6
antarmanusia,2
transisi,1
sejati,18
benih,2
terlupakan,2
simbolis,3
mempublikasikan,1
produsen,2
sesudahnya,2
dihidangkan,1
indarti,2
memengaruhi,7
temperatur,3
kematangan,1
terjawab,1
menginterpretasi,1
terdefinisi,4
keanekaragaman,3
243,5
respoden,1
1178,1
bandingkan,2
memperolah,1
jumpai,1
terbuat,1
temui,2
terjangkau,1
dikaji,3
kenal,1
turuntemurun,2
menhasilkan,1
pengkategorian,1
tradisonal,1
jannah,2
kunjungi,1
minati,1
ikon,2
pindang,1
serani,1
gimbal,1
lumpia,1
lombok,1
babat,1
gongso,1
pak,5
karmin,1
es,1
cong,1
lik,1
mi,2
kopyok,1
dhuwur,1
kue,1
lekker,1
paimo,1
pisang,1
plenet,1
ekayani,1
suriani,1
kusyanda,1
consuming,1
place,1
tourisms,1
gastronomy,1
hawaii,2
hilo,1
hohonu,1
101,4
5154,1
sunda,1
jayakarta,1
suite,1
hotel,5
spa,1
tourism,7
hospitality,2
essentials,1
ayam,1
dim,1
sum,1
restaurant,2
tang,1
palace,1
jw,3
marriot,1
culinary,1
septemuryantoro,1
simpang,1
344352,1
lumbers,1
eves,1
globalisation,1
food,16
consumption,2
annals,2
171196,1
mengkonsumsi,2
kec,4
simanindo,1
kab,7
samosir,1
unimed,2
rondo,1
researchgate,1
december,1
mulyana,3
meilawati,2
ekowati,1
sesaji,1
pasarpasar,1
nailah,1
oktariadi,1
jejak,5
dipoipteks,1
kastenholz,1
bianchi,1
niche,1
markets,1
intimacy,1
experience,5
strategy,1
sustainable,2
2389,1
11791197,1
burns,2
consumer,1
macromarketing,1
222237,1
khasanah,1
ilmujurnal,1
perluasan,4
dicky,5
edwar,5
afosjlas,4
vol3,2
juni2023,1
228,2
eissn27762408,1
27989267,1
jlas,2
availabel,1
httpsjlaslemkomindoorgindexphpafosjlasindex,1
kaki,53
tanjakan,10
benefits,6
walking,7
incline,3
joko,1
priono2,1
coresponding,2
jokopriono257gmailcom,1
tentag,2
kemudin,2
dirangkai,2
bahasan,5
meberikan,3
narasi,2
metabolisme,5
cemas,5
refleks,3
alamiah,3
mengapa,10
membakar,9
rantai,10
posterior,9
betis,11
pergelangan,6
readers,1
writing,2
papers,3
reading,2
reliable,1
sources,3
government,1
regulations,1
books,2
arranged,1
according,3
topic,1
providing,2
narratives,1
suggestions,1
included,1
sports,11
stimulate,1
blood,6
flow,3
brain,1
throughout,1
overall,1
reduce,3
feelings,1
anxiety,2
reflexes,1
reason,1
why,3
called,2
calories,1
strengthens,1
stronger,1
calves,1
ankles,1
walk,1
harfiah,1
menguatkan,3
menyehatkan,1
disaat,2
menit,21
primary,1
care,2
companion,1
kekebalan,2
kardiometabolik,5
eatingwell,1
sepatu,2
running,2
meluangkan,1
ketahui,4
tahukah,1
lho,2
ketimbang,1
secangkir,1
kopi,1
kortisol,1
epinefrin,1
norepinefrin,1
sore,4
pembakaran,3
terbakar,1
jalanan,2
menanjak,10
datar,6
itulah,5
223,2
rute,3
perbukitan,1
bergantian,1
tantang,1
koroner,1
durasi,4
meringankan,2
sendi,3
melumasi,1
otototot,4
menopang,1
persendian,1
arthritis,1
seminggu,2
radang,1
gula,3
diabetes,18
glukosa,5
direkomendasikan,3
harihari,1
terasa,2
memperlancar,1
melancarkan,4
cukuplah,1
1015,2
yah,1
kreativitas,3
buntu,1
rumit,3
berjalanjalan,2
sebentar,3
tes,15
subjek,6
pejalan,2
memperpanjang,5
jarang,12
yup,1
menitnya,2
mil,4
sekian,1
usahakan,1
setelahnya,1
baiknya,3
lagipula,1
paha,7
dilewatkan,1
bergelambir,1
nyenyak,1
melatonin,1
225,2
dideskripsikan,3
dibuktikan,5
mengantisipasi,3
sugiyono,6
201522,1
kegiatakan,1
treadmill,5
chrys,1
crockett,1
cpt,1
pelatih,1
spesialis,1
mengatakan,9
kegunaan,4
manfaatkan,1
berlari,2
mensimulasikan,2
mengusir,2
monoton,2
dilupakan,1
pengeluaran,2
duncan,2
mdt,1
tendon,1
myofascial,1
226,2
sling,1
maju,7
entah,1
miring,5
berbukit,1
lipat,1
glutes,2
membentang,3
menstabilkan,1
panggul,1
curam,1
postur,2
atletis,1
cedera,4
baca,2
bersepeda,1
acsm,1
fleksibilitas,2
latihan,63
bagus,2
foot,1
ankle,1
mengaktifkan,2
227,1
neuro,1
peroneal,1
evertor,1
simpul,1
diintensifkan,2
intan,2
pitaloka,2
elazhari,4
tampubolon,7
barham,1
parinduri,3
tanjung,1
balai,1
liaison,4
academia,4
siregar,3
prayoga,1
zombie,1
context,8
stateowned,1
enterprises,1
url,3
httpslifestylekompascomread20210729080035420,1
administration,2
teacher,1
serbajadi,2
deli,1
serdang,1
ijerlas,2
235248,1
roswirman,2
khairuddin,1
tampubolon2021,1
smk,1
swasta,2
pab,1
helvetia,1
lasv1no4hal316333,1
rd,3
sibuea,2
sosiety,1
153163,1
karim,1
saleh,2
sosialisasi,4
theme,1
park,1
pantai,17
supervisory,1
competence,1
superintendents,1
padangsidimpuan,1
249261pendidikan,1
191200,1
httpswwweatingwellcomarticle7955973isyogaaloneagoodenoughformof,1
httpswwweatingwellcomarticle291804healthbenefitsofwalking,1
pages,9
40024010,9
4002,1
marlef1,1
masyhuri2,1
yuslenita,1
muda3,1
uin,2
sultan,1
syarif,1
kasim,1
atikamarlefgmailcom,1
perundungan,8
menjatuhkan,4
mempermalukan,4
mengejek,2
mengungkap,4
pencegahannya,3
mengeksplorasi,7
dihasilkannya,1
merendahkan,3
bunuh,3
berinternet,3
intensif,3
kepolisian,4
platforms,1
put,2
down,2
humiliate,1
ridicule,1
focuses,1
uncovering,1
discusses,2
examine,1
depth,1
explore,1
effective,3
act,2
carried,4
repeatedly,1
intentionally,1
intentional,1
acts,1
taunting,1
harassing,1
demeaning,1
repercussions,1
victim,1
depression,1
even,1
suicide,1
attitude,1
intensive,1
routinely,1
conduct,4
antibullying,2
socialization,2
organizations,2
bagaikan,7
pedang,1
bermata,1
kelancaran,4
kasiyatno,2
mencontohkan,1
manifestasi,2
kelam,1
4003,1
memposting,1
menyinggung,2
terluka,1
dipermalukan,1
baiti,2
monica,1
melecehkan,1
game,92
contohnya,8
dimungkinkan,1
membagikan,4
dapatkan,4
dimanfaatkan,16
mencelakai,1
pratiwi,2
pritanova,2
menghentikan,2
imani,2
momok,1
prevalensinya,1
kian,2
merajalela,1
drastis,1
menguak,1
korua,1
dikategorikan,8
fitnah,3
cemooh,1
hinaan,3
anshori,3
layar,4
tergerak,1
psikis,3
kapan,4
menyakitkan,1
korbannya,3
chou,1
merambah,5
tokumaga,1
gimenez,1
hinduja,4
patchin,4
mengejar,3
menyusun,3
aktual,3
bukubuku,3
narbuko,1
achmadi,1
4004,1
interconnected,1
berupasebuah,1
penjuru,1
sharing,19
informationantara,1
jubilee,1
1960an,1
webwww,1
bermula,2
militer,2
lawrence,2
roberts,1
pendiri,1
arpanet,2
projects,2
agency,1
zaenal,2
1979,2
aksesnya,1
penopang,2
jerry,1
everand,1
erhans,1
anggawirya,1
penggunanya,6
perniagaan,1
pemakai,6
positiv,1
negativ,1
virtual,9
beranekaragam,1
memperolehnya,1
cerdas,7
jejaring,4
menghadirkan,7
ragam,5
terkini,7
kapanpun,2
dimanapun,2
film,1
jadwal,3
tayang,1
rahmania,3
segudang,1
berjejaring,1
berbisnis,1
luput,1
membobol,1
acuh,2
cyberstalking,2
4005,1
pertemanan,2
bersosialisasi,2
interaktif,2
orangorang,3
nasrullah,2
paramitha,1
purnama,4
jangkauan,3
