ngram,frequency
layanan bank,1
bank seperti,1
seperti penarikan,1
penarikan tunai,1
tunai transfer,1
transfer dan,1
dan setoran,1
setoran ponsel,1
ponsel menawarkan,1
menawarkan layanan,1
layanan pembayaran,1
pembayaran dan,1
dan melalui,3
ponsel seseorang,1
seseorang dapat,3
dapat memproses,1
memproses pinjaman40,1
pinjaman40 4,1
4 tailgating,1
tailgating merupakan,1
merupakan praktik,1
praktik rekayasa,1
melibatkan pemalsuan,1
pemalsuan identitas,2
identitas atau,2
atau pemakaian,1
pemakaian metode,1
yang menipu,1
menipu untuk,1
sah ke,4
atau sistem,2
komputer dalam,1
ini pelaku,2
pelaku cyber,1
crime mengikuti,1
mengikuti atau,1
atau mengekor,1
mengekor korban,1
korban mereka,2
mereka secara,2
secara dekat,1
mengambil keuntungan,3
keuntungan dari,3
dari kepercayaan,1
kepercayaan atau,1
atau ketidaktahuan,1
ketidaktahuan mereka,1
mereka contoh,1
contoh konkret,2
konkret dari,2
dari tailgat,1
tailgat ing,1
ing dalam,1
konteks cyber,1
crime dapat,1
dapat berupa,5
berupa seseorang,1
memanfaatkan keramahan,1
keramahan seseorang,1
seseorang secara,4
pribadi untuk,2
atau informasi,10
informasi rahasia,2
rahasia misalnya,1
misalnya seo,1
seo rang,1
rang penyerang,1
penyerang mungkin,1
mungkin berpurapura,1
menjadi staf,1
staf it,2
it dan,2
memberikan kata,1
atau menginstal,1
menginstal perangkat,2
lunak berbahaya41,1
berbahaya41 5,1
5 ramsomware,1
ramsomware merupakan,1
merupakan jenis,2
jenis perangkat,1
lunak berbahaya,3
berbahaya malware,1
malware yang,2
mem blokir,1
blokir atau,1
atau mengenkripsi,2
mengenkripsi data,2
komputer korban42,1
korban42 penyerang,1
penyerang kemudian,1
kemudian menuntut,1
menuntut pem,1
pem bayaran,1
bayaran tebusan,1
tebusan ransom,1
ransom kepada,1
kepada korban,3
korban agar,1
agar data,2
data mereka,1
mereka dapat,9
dibuka atau,1
atau dikembalikan,1
dikembalikan ransom,1
ransom ware,1
ware biasanya,1
biasanya menyebar,1
menyebar melalui,1
melalui tautan,1
tautan atau,2
atau lampiran,2
lampiran yang,2
meragukan dalam,1
dalam email,1
email phishing,1
phishing situs,1
situs 37,1
37 neetu,1
neetu bansla,1
bansla swati,1
swati kunwar,2
kunwar and,2
and khushboo,2
khushboo gupta,2
gupta social,2
engineering a,2
a technique,2
for managing,2
managing human,1
human behavior,6
behavior journal,2
and sciences,2
sciences 5,2
1 2019,4
2019 1822,2
1822 38,1
38 ibid,1
ibid 39,1
39 keith,1
keith s,2
s jones,1
jones et,1
al how,1
how social,2
social engineers,1
engineers use,1
use persuasion,2
persuasion principles,2
principles during,2
during vishing,2
vishing attacks,2
attacks information,2
information computer,2
computer security,3
security 29,2
2 2021,4
2021 314331,2
314331 40,1
40 elijah,1
elijah m,2
m maseno,2
maseno vishing,2
vishing attack,3
detection model,5
for mobile,5
mobile users,3
users kca,2
kca university,2
university 2017,2
2017 http418949138080,1
http418949138080 xmluibitstreamhandle1234567891276masenovishing,1
xmluibitstreamhandle1234567891276masenovishing attack,1
mobile userspdfsequence1isal,1
userspdfsequence1isal lowedytypearticlejournalurishttpwwwmendeleycomdocumentsuuid5a2950065aba429f8e7000b435c,1
lowedytypearticlejournalurishttpwwwmendeleycomdocumentsuuid5a2950065aba429f8e7000b435c c9abamendeleyformattedcitationelijah,1
c9abamendeleyformattedcitationelijah m,1
users ikca,1
ikca universityi,1
universityi 2017,1
2017 41,1
41 salahdine,1
and kaabouch,1
survey loc,1
cit 42,1
42 ibid,1
ibid technology,1
no2 305,1
305 web,1
web yang,5
yang terinfeksi,3
terinfeksi atau,1
atau menggunakan,4
menggunakan eksploitasi,1
eksploitasi kelemahan,1
kelemahan dalam,1
komputer 43,1
43 setelah,1
setelah ransomware,1
ransomware berhasil,1
berhasil menginfeksi,1
menginfeksi sistem,1
komputer ia,1
ia akan,4
akan mengenkripsi,1
mengenkripsi file,1
file dan,2
memberikan perin,1
perin gatan,1
gatan kepada,1
korban dengan,3
dengan instruksi,1
instruksi tentang,1
cara membayar,1
membayar tebusan,1
tebusan agar,1
agar mendapatkan,2
mendapatkan kunci,1
kunci dekripsi,1
dekripsi atau,1
atau pemulihan,1
pemulihan data44,1
data44 biasanya,1
biasanya pembayaran,1
pembayaran ini,1
bentuk mata,1
uang digital,1
seperti bitcoin,1
bitcoin agar,1
agar sulit,2
sulit dilacak,1
dilacak beberapa,1
beberapa ransomware,1
ransomware terkenal,1
terkenal yang,2
pernah muncul,1
muncul adalah,1
adalah wannacry,1
wannacry petyanotpetya,1
petyanotpetya dan,1
dan ryuk45,1
ryuk45 6,1
6 pretexting,1
pretexting metode,1
melibatkan penyerang,1
penyerang menciptakan,1
menciptakan skenario,1
skenario atau,1
alasan palsu,1
palsu untuk,2
untuk mendapa,1
mendapa tkan,1
tkan informasi,1
diinginkan mereka,1
mereka bisa,1
bisa berpurapura,1
menjadi pegawai,1
pegawai perusahaan,1
perusahaan anggota,1
anggota staf,1
it atau,1
atau pihak,1
pihak berwenang,2
berwenang dan,2
rahasia atau,2
atau akses,4
ke sistem46,1
sistem46 7,1
7 baiting,1
baiting dalam,1
dalam serangan,2
serangan baiting,1
baiting penyerang,1
penyerang menjanjikan,1
menjanjikan imbalan,1
imbalan atau,1
atau hadiah,1
hadiah menarik,1
menarik kepada,1
kepada kor,1
kor ban,1
ban sebagai,1
sebagai daya,2
tarik untuk,1
merugikan misalnya,1
misalnya penyerang,2
penyerang dapat,2
dapat meninggalkan,2
meninggalkan usb,1
usb drive,1
terinfeksi dengan,1
dengan malware,1
malware di,1
di tempat,4
tempat umum,1
umum dengan,1
harapan bahwa,1
bahwa seseorang,2
seseorang akan,2
akan menghubungkannya,1
menghubungkannya ke,1
ke komputer,1
komputer dan,6
dan menginfeksinya47,1
menginfeksinya47 8,1
8 quid,1
quid pro,2
pro quo,2
quo dalam,1
serangan quid,1
quo penyerang,1
penyerang menawarkan,1
menawarkan sesuatu,1
diinginkan oleh,1
oleh korban,1
korban sebagai,2
sebagai imbalan,1
imbalan atas,1
atas informasi,1
informasi atau,2
akses yang,4
yang diminta,3
diminta misalnya,1
dapat berpu,1
berpu rapura,1
rapura menjadi,1
menjadi teknisi,1
teknisi it,1
dan menawarkan,1
menawarkan bantuan,1
bantuan teknis,1
teknis kepada,1
korban tetapi,2
dalam prosesnya,1
prosesnya meminta,1
untuk mengungkapkan,1
mengungkapkan kata,1
atau memberikan,2
memberikan akses,2
ke sistem48,1
sistem48 teknik,1
sosial ini,2
ini efektif,1
efektif karena,1
karena mengandalkan,1
mengandalkan kelemahan,1
kelemahan manusia,1
seperti ketidaktahuan,1
ketidaktahuan keinginan,1
membantu atau,1
atau kurangnya,2
kurangnya kesadaran,1
kesadaran akan,14
akan ancaman,2
keamanan oleh,1
itu penting,8
dan organisasi,4
organisasi untuk,2
meningkatkan kesadaran,11
kesadaran tentang,6
tentang serangan,1
sosial mengenali,1
mengenali tanda,1
tanda peringatan,1
peringatan dan,1
dan menjaga,3
menjaga kehatihatian,1
kehatihatian dalam,1
dalam berbagi,2
tindakan online,1
online selain,1
itu edukasi,1
edukasi kebijakan,1
kebijakan keamanan,2
yang ketat,2
ketat dan,1
pelatihan keamanan,1
yang berkala,1
berkala juga,1
risiko serangan,1
rekayasa sosial49,1
sosial49 d,1
d pelecehan,1
online harassment,10
harassment pelecehan,1
daring juga,1
juga dikenal,3
dikenal sebagai,5
sebagai pelecehan,2
atau serangan,2
serangan siber,3
siber merujuk,1
pada tindakan,2
tindakan tidak,1
tidak pantas,2
pantas ancaman,1
ancaman intimidasi,1
intimidasi atau,1
atau penindasan,1
penindasan yang,1
melalui platform,3
platform digital,3
digital atau,1
bentuk kejahatan,1
negatif secara,1
emosional psikologis,1
pada korban50,1
korban50 ada,1
tiga platform,1
platform media,3
terjadi praktik,1
praktik pelecehan,1
daring diantarany,1
diantarany facebook,1
facebook 43,1
43 m,1
m ö,2
ö başeskioğlu,1
başeskioğlu and,1
a tepeci,2
tepeci cybersecurity,2
cybersecurity computer,2
networks phishing,2
malware ransomware,2
ransomware and,2
and social,9
social en,1
en gineering,1
gineering antipiracy,1
antipiracy reviews,2
reviews 3rd,2
3rd international,2
international congress,2
congress on,2
on humancomputer,2
humancomputer interaction,1
interaction optimization,1
and robotic,2
robotic applica,1
applica tions,1
tions hora,1
hora ankara,2
ankara turkey,2
turkey 2021,2
2021 2021,2
2021 15,2
15 44,1
44 craig,1
craig beaman,1
beaman et,2
al ransomware,1
ransomware recent,2
recent advances,2
advances analysis,2
analysis challenges,2
challenges and,2
and future,3
future research,2
research directions,1
directions computers,1
111 2021,2
2021 102490,2
102490 45,1
45 hesham,1
hesham alshaikh,1
alshaikh nagy,1
nagy ramadan,2
ramadan and,2
and hesham,2
hesham ahmed,2
ahmed hefny,2
hefny ransomware,2
ransomware prevention,2
prevention and,2
and mitigation,2
mitigation techniques,2
techniques international,2
8887 177,2
177 no,2
no 40,2
40 2020,2
2020 3139,2
3139 46,1
46 shivam,1
shivam lohani,1
lohani social,1
engineering hacking,2
hacking into,2
into humans,2
humans international,2
advanced studies,2
studies of,3
of scientific,4
scientific re,1
re search,1
search 4,1
2019 47,1
47 ibid,1
ibid 48,1
48 ibid,1
ibid 49,1
49 jamil,1
facebook loc,1
cit 50,1
50 e,1
e jhaver,1
jhaver s,2
s ghoshal,2
ghoshal s,2
s bruckman,2
bruckman a,2
a and,2
and gilbert,2
gilbert online,1
harassment and,2
and content,2
content moderation,2
moderation the,2
the case,4
case of,4
of block,1
block lists,1
lists acm,1
acm transactions,2
transactions on,2
on computerhuman,2
computerhuman interaction,2
interaction tochi,2
tochi 25,2
25 no,2
2 2018,2
2018 133,2
133 russel,1
butarbutar 306,1
306 twitter,1
twitter dan,1
dan instagram51,1
instagram51 berikut,1
ini beberapa,3
bentuk umum,3
umum dari,3
dari pelecehan,2
daring 1,1
1 pelecehan,1
pelecehan verbal,2
verbal ini,1
melibatkan penggunaan,5
penggunaan katakata,1
katakata kasar,3
kasar ancaman,1
ancaman penghinaan,1
penghinaan atau,1
atau ejekan,1
ejekan yang,1
ditujukan kepada,2
kepada seseorang,1
seseorang melalui,2
melalui pesan,3
pesan teks,7
teks email,2
email komentar,1
komentar di,1
atau platform,4
platform komunikasi,1
komunikasi online,2
online lainnya52,1
lainnya52 2,1
pelecehan seksual,2
seksual ini,2
mencakup tindakan,2
tindakan atau,1
atau komunikasi,1
tidak diinginkan,2
pantas dengan,1
dengan unsur,1
unsur seksual,1
bisa termasuk,1
termasuk penyalahgunaan,1
penyalahgunaan pemerasan,1
pemerasan penyebaran,1
penyebaran gambar,1
gambar atau,2
atau video,3
video pribadi,1
pribadi tanpa,1
izin revenge,1
revenge porn,1
porn atau,1
atau teks,1
teks dan,1
dan percakapan,1
percakapan eksplisit,1
eksplisit yang,1
tidak diinginkan53,1
diinginkan53 3,1
3 pencemaran,1
baik ini,1
terjadi ketika,8
seseorang menyebarluaskan,1
menyebarluaskan informasi,1
informasi palsu,3
palsu atau,5
merusak reputasi,6
reputasi seseorang,1
sosial blog,1
blog forum,1
forum atau,1
platform online,9
online lainnya,4
tujuan merugikan,1
merugikan atau,2
atau mencemarkan,1
mencemarkan nama,2
baik seseorang54,1
seseorang54 4,1
4 pelecehan,1
pelecehan cyberbullying,1
cyberbullying ini,3
bentuk pelecehan,2
pelecehan yang,2
berulang dan,2
dan bertujuan,3
untuk merendah,1
merendah kan,1
kan mengintimidasi,1
mengintimidasi atau,1
atau menyakiti,2
menyakiti seseorang,1
secara emosional55,1
emosional55 melalui,1
teks komentar,1
komentar atau,1
atau konten,2
konten yang,2
yang diunggah,1
diunggah di,1
online lainnya56,1
lainnya56 5,1
5 stalking,1
stalking daring,1
daring ini,2
melibatkan penelusuran,1
penelusuran pengawasan,1
pengawasan atau,1
atau pengikutan,1
pengikutan yang,1
diinginkan terhadap,1
terhadap seseorang,1
secara online,4
online ini,2
mencakup pengawasan,1
pengawasan aktivitas,1
aktivitas media,1
sosial pengiriman,1
pengiriman pesan,3
yang berlebihan,2
berlebihan atau,1
atau pembuatan,1
pembuatan akun,1
akun palsu,1
mengamati dan,1
dan mengganggu,1
mengganggu kehidupan,3
kehidupan pribadi,1
pribadi korban57,1
korban57 pelecehan,1
daring memiliki,1
serius pada,1
pada kesejahteraan,1
kesejahteraan korban,1
korban termasuk,2
termasuk stres,1
stres kecemasan,1
kecemasan depresi,3
depresi isolasi,1
isolasi sosial,1
bahkan potensi,1
potensi dampak,1
dampak fisik,2
dengan mengamankan,1
mengamankan akun,1
akun media,6
sosial mereka,2
mereka membatasi,1
membatasi akses,1
pribadi dan,2
dan melaporkan,1
melaporkan kejahatan,1
siber kepada,1
kepada penyedia,2
penyedia platform,1
platform atau,1
atau otoritas,2
otoritas yang,4
yang berwenang58,1
berwenang58 selain,1
diperlukan upaya,1
upaya kolektif,1
masyarakat penyedia,1
layanan online,1
untuk memerangi,2
memerangi pelecehan,1
penerapan kebijakan,2
memadai pendidikan,1
pendidikan tentang,1
tentang kesadaran,1
kesadaran cyberbullying,1
cyberbullying dan,7
daring serta,1
serta penyediaan,1
penyediaan sumber,1
daya dan,2
dukungan bagi,1
bagi korban,5
korban semua,1
semua orang,6
orang memiliki,1
peran dalam,4
dalam menciptakan,5
menciptakan lingkungan,4
lingkungan online,1
online yang,7
yang aman,4
aman inklusif,1
dari pelecehan59,1
pelecehan59 51,1
51 jessica,1
jessica vitak,1
vitak linda,1
linda steiner,2
steiner and,3
zahra ashktorab,2
ashktorab identifying,3
identifying womens,3
womens experiences,3
experiences with,3
with and,3
and strategies,5
strategies for,3
for mitigating,3
mitigating negative,3
negative effects,3
of online,6
harassment in,2
the 2017,2
2017 acm,2
acm conference,2
on computer,4
computer supported,2
supported cooperative,2
cooperative work,2
work and,4
social computingx,2
computingx 2017,2
2017 12311245,2
12311245 52,1
52 ibid,1
ibid 53,1
53 atika,1
atika khurana,1
khurana et,1
al the,1
the protective,2
protective effects,2
of parental,3
parental monitoring,2
monitoring and,2
and internet,2
internet restriction,2
restriction on,2
on adolescents,2
adolescents risk,2
risk of,3
of on,1
on line,1
line harassment,1
harassment journal,2
of youth,2
youth and,3
and adolescence,4
adolescence 44,2
44 2015,2
2015 10391047,2
10391047 54,1
54 vitak,1
vitak steiner,1
and ashktorab,1
harassment loc,1
cit 55,1
55 lynette,1
lynette k,2
k watts,1
watts et,2
al cyberbullying,1
cyberbullying in,3
in higher,2
higher education,5
education a,2
a literature,2
review computers,2
computers in,4
in human,5
behavior 69,2
69 2017,2
2017 268274,2
268274 56,1
56 rm,1
rm whittaker,1
whittaker e,3
and kowalski,3
kowalski cyberbullying,2
cyberbullying via,3
via social,3
social media,10
media journal,2
of school,3
school violence,2
violence 14,2
14 no,2
1 2015,2
2015 1129,2
1129 57,1
57 emily,1
emily a,2
a vogels,1
vogels the,1
the state,2
state of,3
harassment pew,2
pew research,2
research center,4
center 13,2
13 2021,2
2021 httpswwwpewresearchorginter,1
httpswwwpewresearchorginter netwpcontentuploadssites9202101pi_20210113_onlineharassment_final1pdf,1
netwpcontentuploadssites9202101pi_20210113_onlineharassment_final1pdf 58,1
58 elizabeth,1
elizabeth englander,1
englander et,1
al defining,1
defining cyberbullying,2
cyberbullying pediatrics,2
pediatrics 140,2
140 140,2
140 no,2
2 2017,2
2017 s148s151,2
s148s151 59,1
59 whittaker,1
media loc,1
cit technology,2
no2 307,1
307 e,1
e kejahatan,1
crimes kejahatan,1
identitas juga,1
atau pencurian,3
identitas merujuk,1
penggunaan identitas,2
sah untuk,2
tujuan penipuan,2
atau keuntungan,1
keuntungan pribadi,1
dalam kejahatan,1
kejahatan ini,4
pelaku mencuri,1
mencuri atau,3
menggunakan informasi,5
seseorang seperti,3
seperti nama,1
nama nomor,1
nomor identitas,2
identitas kartu,2
kredit atau,3
informasi keuangan,2
keuangan lainnya,2
dengan maksud,4
maksud menipu,1
menipu melakukan,1
melakukan penipuan,2
kegiatan ilegal,2
ilegal lainnya60,1
lainnya60 berikut,1
identitas 1,1
1 pencurian,1
identitas ini,1
mengambil informasi,1
seseorang tanpa,2
izin biasanya,1
biasanya melalui,1
melalui pencurian,1
pencurian fisik,1
dan menggunakannya,2
tujuan ilegal,1
ilegal infor,1
infor masi,1
masi yang,1
yang dicuri,4
dicuri dapat,1
membuka rekening,2
rekening palsu,1
palsu mengajukan,1
mengajukan pinjaman,2
pinjaman melakukan,1
melakukan transaksi,7
transaksi finansial,1
finansial atau,1
tindakan ilegal,1
ilegal lainnya,1
lainnya atas,1
atas nama,2
nama korban61,1
korban61 2,1
2 penipuan,1
kredit pelaku,1
pelaku menggunakan,3
informasi kartu,2
kredit yang,3
dicuri untuk,1
membuat pem,1
pem belian,1
belian online,1
atau offline,1
offline tanpa,1
izin pemilik,1
pemilik kartu,2
kartu mereka,1
dapat membeli,1
membeli barang,1
barang makanan,1
atau layanan,2
layanan dengan,1
yang sah,3
sah namun,1
namun tanpa,2
pengetahuan pemilik,1
kartu 3,1
3 pembobolan,1
pembobolan data,1
ketika pelaku,2
pelaku berhasil,1
berhasil memperoleh,1
memperoleh akses,2
ke basis,1
basis data,18
seperti data,5
data pelanggan,5
pelanggan atau,1
data keuangan,1
perusahaan informasi,1
dicuri kemudian,1
atau dijual,1
dijual ke,1
pasar gelap62,1
gelap62 4,1
4 pemalsuan,1
identitas pelaku,1
pelaku menciptakan,1
menciptakan atau,1
menggunakan dokumen,2
dokumen palsu,1
palsu seperti,1
seperti paspor,1
paspor sim,1
sim atau,1
atau kartu,1
kartu identitas,1
identitas palsu,1
memiliki informasi,2
informasi identitas,1
identitas orang,1
ilegal lainnya63,1
lainnya63 5,1
5 penipuan,1
penipuan pajak,1
pajak pelaku,1
pribadi orang,1
untuk mengajukan,2
mengajukan pengembalian,1
pengembalian pajak,1
pajak palsu,1
atau menghindari,2
menghindari pembayaran,1
pembayaran pajak,1
pajak mereka,1
informasi tersebut,3
tersebut un,1
un tuk,3
tuk memalsukan,1
memalsukan penghasilan,1
penghasilan atau,1
atau klaim,1
klaim deduksi,1
deduksi palsu,1
palsu dalam,2
dalam deklarasi,1
deklarasi pajak64,1
pajak64 6,1
6 pencurian,1
identitas anakanak,3
anakanak kejahatan,1
anakanak yang,3
yang ser,1
ser ing,1
ing kali,1
kali memiliki,2
memiliki catatan,1
catatan kredit,1
bersih untuk,1
rekening baru,1
baru mengajukan,1
pinjaman atau,1
tindakan penipuan,1
penipuan lainnya65,1
lainnya65 kejahatan,1
identitas dapat,1
menyebabkan kerugian,3
kerugian finansial,4
finansial dan,1
dan kerugian,1
kerugian reputasi,4
reputasi yang,1
ini penting,7
pribadi mengamankan,1
mengamankan dokumendokumen,1
dokumendokumen identitas,1
identitas menghindari,1
menghindari memberikan,1
yang sensitif,2
sensitif secara,1
atau kepada,1
tidak dikenal,3
dikenal serta,1
serta memantau,1
memantau secara,1
teratur laporan,1
laporan kredit,1
dan transaksi,1
transaksi 60,1
60 ali,1
ali hussain,1
hussain what,2
is identity,3
identity theft,3
theft definition,3
definition types,3
types and,3
and examples,3
examples last,2
modified 2022,2
2022 accessed,2
march 27,4
2023 httpswwwinvestopediacomtermsiidentitytheftasp,2
httpswwwinvestopediacomtermsiidentitytheftasp 61,1
61 ew,1
ew lubua,1
lubua and,1
and pd,2
pd pretorius,2
pretorius ranking,2
ranking cybercrimes,2
cybercrimes based,2
on their,2
their impact,2
impact to,2
to organisations,2
organisations welfare,2
welfare hreat,2
hreat con,1
con ference,1
ference proceedings,1
proceedings 2019,2
2019 111,2
62 mh,1
mh rumlus,1
rumlus and,1
and h,2
h hartadi,2
hartadi kebijakan,2
kebijakan penanggulangan,2
penanggulangan pencurian,2
pencurian data,6
data pribadi,8
dalam media,3
media elektronik,2
elektronik jurnal,1
jurnal ham,2
ham 11,2
2 2020,3
2020 285299,2
285299 63,1
63 adik,1
adik nur,2
nur luthiya,1
luthiya benny,1
benny irawan,2
irawan and,2
and rena,2
rena yulia,2
yulia kebijakan,2
kebijakan hukum,2
hukum pidana,5
pidana terhadap,2
terhadap pengaturan,2
pengaturan pencurian,1
pribadi sebagai,2
sebagai penyalahgunaan,2
penyalahgunaan teknologi,3
informasi urnal,2
urnal hukum,2
pidana dan,2
dan kriminologi,2
kriminologi 2,2
2021 1429,2
1429 64,1
64 ross,1
ross anderson,1
anderson et,1
al easuring,1
easuring the,2
the changing,4
changing cost,4
cybercrime last,2
modified 2019,2
2019 accessed,1
2023 https,2
https orcacardiffacukideprint1226841levi_measuring,1
orcacardiffacukideprint1226841levi_measuring the,1
of cybercrimepdf,2
cybercrimepdf 65,1
65 hussain,1
examples loc,1
butarbutar 308,1
308 keuangan66,1
keuangan66 f,1
f peretasan,1
peretasan hacking,2
hacking peretasan,1
peretasan juga,1
sebagai hacking,1
hacking adalah,1
melibatkan mendapatkan,1
jaringan atau,2
atau perangkat,2
perangkat elektronik,1
elektronik dengan,1
tujuan mengubah,1
mengubah mencuri,1
merusak data,3
atau mengambil,1
mengambil kendali,1
kendali atas,2
atas sistem,1
tersebut aktivitas,1
aktivitas ini,3
mencakup mengidentifikasi,1
mengidentifikasi kerentanan,1
sistem atau,4
memeriksa serta,1
serta memanipulasi,1
memanipulasi data,1
dengan niat,1
niat jahat,3
atau inisiatif,2
inisiatif sendiri,1
sendiri peretasan,1
peretasan dapat,2
memiliki pengetahuan,1
pengetahuan teknis,1
teknis dan,1
dan keahlian,1
keahlian dalam,1
bidang keamanan,1
keamanan komputer67,1
komputer67 berikut,1
dari peretasan,2
peretasan 1,1
1 peretasan,1
peretasan sistem,1
komputer ini,1
melibatkan penetrasi,1
penetrasi ilegal,1
ilegal ke,1
komputer dengan,4
dengan men,1
men gidentifikasi,1
gidentifikasi celah,1
celah keamanan,2
keamanan mencari,1
mencari cara,1
untuk menghindari,13
menghindari pengamanan,1
pengamanan dan,1
atau mengendalikan,1
mengendalikan sistem68,1
sistem68 2,1
2 peretasan,1
peretasan jaringan,1
jaringan pelaku,1
pelaku mencoba,3
mencoba memasuki,1
memasuki jaringan,1
komputer baik,1
itu jaringan,1
jaringan perusahaan,1
perusahaan lem,1
lem baga,1
baga pemerintah,1
jaringan individu,1
tujuan mengakses,1
mengakses informasi,3
merusak operasi,1
operasi jaringan69,1
jaringan69 3,1
3 peretasan,1
peretasan situs,1
situs web,9
web ini,3
melibatkan pengambilalihan,1
pengambilalihan situs,1
dengan mendapatkan,1
ke server70,1
server70 mengubah,1
mengubah konten,1
konten menghapus,1
menghapus atau,1
atau mencuri,1
mencuri data,2
atau membuat,1
membuat deface,1
deface pada,1
pada halaman,3
halaman depan,2
depan situs71,1
situs71 4,1
peretasan sandi,1
sandi pelaku,1
menggunakan berbagai,2
berbagai teknik,4
teknik seperti,4
seperti bruteforce,1
bruteforce attack,1
attack atau,1
pencurian pass,1
pass word,1
word untuk,1
ke akun,1
akun pengguna,1
pengguna dengan,2
tujuan mengambil,2
mengambil alih,1
alih akun,1
akun tersebut72,1
tersebut72 5,1
5 peretasan,1
peretasan perangkat,1
perangkat mobile,2
mobile pelaku,1
mencoba mendapatkan,1
mobile seperti,1
seperti ponsel,1
ponsel pintar,3
pintar atau,1
atau tablet,1
tablet untuk,1
pribadi menginstal,1
berbahaya atau,1
yang merugikan73,1
merugikan73 6,1
6 peretasan,1
peretasan sosial,1
penggunaan manipulasi,1
manipulasi psikologis,1
sosial untuk,2
mem peroleh,1
peroleh informasi,1
sistem pelaku,1
pelaku mungkin,2
mungkin menggunakan,2
seperti phising,1
phising vishing,1
vishing atau,1
atau pretexting,1
pretexting untuk,1
untuk memperdaya,1
memperdaya pengguna,1
pengguna agar,1
ke sistem74,1
sistem74 peretasan,1
serius termasuk,1
termasuk pencurian,1
identitas kerugian,1
finansial kerugian,2
reputasi penyalahgunaan,1
penyalahgunaan informasi,2
atau kerugian,1
kerugian operasional,1
operasional bagi,1
bagi perusahaan,2
untuk 66,1
66 ibid,1
ibid 67,1
67 kaspersky,1
kaspersky what,3
is hacking,3
hacking and,8
to prevent,5
prevent it,4
it last,2
2023 httpswwwkasper,1
httpswwwkasper skycomresourcecenterdefinitionswhatishacking,1
skycomresourcecenterdefinitionswhatishacking 68,1
68 sinha,1
and arora,1
hacker loc,1
cit 69,1
69 samuel,1
samuel chng,1
chng et,1
al hacker,1
hacker types,2
types motivations,2
motivations and,2
strategies a,2
a comprehensive,4
comprehensive framework,2
framework computers,2
behavior reports,2
reports 5,2
no 100167,2
100167 2022,2
2022 70,1
70 th,1
th lenhard,1
lenhard website,1
website hacking,2
hacking data,2
data security,4
security springer,2
springer wiesbaden,2
wiesbaden 2022,2
2022 71,1
71 r,1
s devi,1
devi and,1
m m,3
m kumar,2
kumar testing,2
testing for,2
for security,2
security weakness,2
weakness of,2
of web,2
web applications,2
applications using,2
using ethical,2
hacking 4th,1
4th interna,1
tional conference,1
on trends,2
trends in,3
in electronics,2
electronics and,2
and informatics,2
informatics icoei48184,2
icoei48184 354361,2
354361 d,2
2020 72,1
72 richard,1
richard beno,1
beno and,1
and ron,2
ron poet,2
poet hacking,2
hacking passwords,3
passwords that,2
that satisfy,2
satisfy common,2
common password,2
password policies,2
policies hacking,2
passwords in,1
in 13th,2
13th international,2
on security,2
security of,3
and networks,2
networks 2020,2
2020 13,2
13 73,1
73 c,1
c bermejo,1
bermejo h,1
h flores,2
flores and,2
and p,2
p hui,2
hui notice,2
notice of,2
of retraction,2
retraction steal,2
steal your,2
your life,2
life using,2
using 5,2
5 cents,2
cents hacking,2
hacking android,2
android smartphones,2
smartphones with,2
with nfc,2
nfc tags,2
tags journal,2
of network,5
network and,6
applications 2020,4
2020 16,2
16 74,1
74 kaspersky,1
it technology,1
no2 309,1
309 melindungi,1
peretasan penting,2
menggunakan praktik,1
kuat seperti,2
seperti menggunakan,1
lunak dengan,2
dengan patch,1
patch keamanan,1
terbaru menghindari,1
menghindari mengklik,2
dan mengamankan,1
mengamankan jaringan,1
jaringan dan,4
dengan firewall,1
firewall dan,1
yang tepat75,1
tepat75 penting,1
penting juga,5
juga untuk,7
untuk memiliki,5
memiliki kesadaran,1
tentang risiko,2
risiko peretasan,1
memperoleh pengetahuan,1
pengetahuan dasar,1
dasar tentang,1
tentang keamanan,1
keamanan komputer,1
komputer jika,1
jika anda,2
anda menjadi,3
korban peretasan,1
untuk segera,1
segera melaporkan,1
melaporkan kejadian,1
kejadian tersebut,1
tersebut kepada,1
layanan atau,1
yang berwenang,1
untuk memulihkan,1
memulihkan keamanan,1
keamanan sistem,2
dan melindungi,2
melindungi informasi,2
pribadi g,1
g penolakan,1
information penolakan,1
layanan denial,2
service dos,6
dos dan,2
dan penolakan,1
penolakan informasi,2
information doi,2
doi adalah,1
adalah serangan,1
untuk mengganggu,2
mengganggu aksesibilitas,1
aksesibilitas atau,2
atau ketersediaan,2
ketersediaan sistem,1
layanan sehingga,1
mengakibatkan ketidakmampuan,1
ketidakmampuan pengguna,1
untuk mengakses,2
mengakses atau,2
menggunakan layanan,1
layanan tersebut76,1
tersebut76 1,1
1 penolakan,1
dos serangan,1
serangan dos,4
dos bertujuan,1
untuk menghambat,3
menghambat atau,1
atau menghancurkan,2
menghancurkan ketersediaan,1
ketersediaan sumber,1
daya komputer,1
cara melimpahkan,1
melimpahkan lalu,1
lintas atau,1
atau membanjiri,1
membanjiri sumber,1
daya tersebut,4
tersebut hal,2
dengan mengirimkan,5
mengirimkan sejumlah,1
besar permintaan,1
permintaan palsu,1
palsu ke,1
sistem target,3
target membanjiri,1
membanjiri jaringan,1
dengan lalu,1
lintas yang,1
atau memanfaatkan,2
memanfaatkan kerentanan,1
kerentanan pada,1
atau protokol,1
